time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
939,2050,127.74,166980,177,348.16360728,-0.3303365111351013,0.004641588833612777,-79.95597839355469,6.194524765014648,0.05117802321910858,7848
938,2060,129.15,167560,178,354.0767902299999,-0.49906402826309204,0.004641588833612777,-80.96527099609375,22.274017333984375,0.0535709522664547,7877
938,2070,129.57,169400,180,354.68278819,-0.966256856918335,0.004641588833612777,-79.28974914550781,16.430728912353516,0.04867883026599884,7969
938,2080,127.96,169800,180,345.0217004499999,-0.2484278529882431,0.004641588833612777,-82.42085266113281,4.402202606201172,0.045280225574970245,7989
938,2090,127.01,171720,182,340.07103097999993,0.1989031881093979,0.004641588833612777,-81.30363464355469,9.697503089904785,0.05233398824930191,8085
938,2100,125.13,172020,183,330.00328404,-0.15306374430656433,0.004641588833612777,-86.12605285644531,19.96919059753418,0.05231531336903572,8100
938,2110,123.79,174040,185,322.4589992599999,-0.4833863079547882,0.004641588833612777,-85.96294403076172,10.026840209960938,0.0540086105465889,8201
938,2120,122.81,174560,185,318.02859939,-1.5867795944213867,0.004641588833612777,-85.034912109375,5.188386917114258,0.053212590515613556,8227
938,2130,122.17,176540,188,316.1590850300001,0.6330884695053101,0.004641588833612777,-82.20376586914062,40.24481964111328,0.05278226360678673,8326
938,2140,121.41,177100,188,313.82374763000007,-1.8091309070587158,0.004641588833612777,-84.94861602783203,7.084366321563721,0.05233665928244591,8354
938,2150,120.64,179020,190,309.95700211,-0.990188717842102,0.004641588833612777,-81.88578033447266,5.817637920379639,0.05293959006667137,8450
938,2160,119.42,179660,191,303.94814829999996,1.086261510848999,0.004641588833612777,-87.76240539550781,8.990913391113281,0.04980885609984398,8482
938,2170,118.69,181340,193,300.70110966000004,-1.7392141819000244,0.004641588833612777,-88.81683349609375,16.872913360595703,0.049908850342035294,8566
938,2180,120.01,182160,194,306.66158285,1.8924436569213867,0.004641588833612777,-87.6092529296875,9.132753372192383,0.04897170141339302,8607
