rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss
331.3649134,958,387,371060,4200,123.79,18052,17.919143676757812,0.07105043530464172,0.03593813663804626,3.160661458969116,-107.17658996582031
335.38328756000004,958,387,371580,4210,125.58,18078,13.782395362854004,0.11822477728128433,0.03593813663804626,-3.7465908527374268,-105.06420135498047
343.74253725999995,958,390,373800,4220,127.27,18189,26.862621307373047,0.08640642464160919,0.03593813663804626,-0.6354331970214844,-102.98880004882812
359.21948367000005,958,391,374860,4230,130.92,18242,14.437519073486328,0.0869939848780632,0.03593813663804626,1.4693422317504883,-108.12445068359375
370.80660351,958,392,375900,4240,133.7,18294,16.411296844482422,0.07090238481760025,0.03593813663804626,-0.14619207382202148,-107.28081512451172
368.12941674,957,394,377880,4250,133.88,18393,17.986434936523438,0.06381436437368393,0.03593813663804626,2.8562674522399902,-107.56393432617188
378.32758842000004,957,396,379340,4260,137.93,18466,11.833026885986328,0.08630557358264923,0.03593813663804626,0.2750642001628876,-105.62515258789062
392.9130161500001,957,397,380520,4270,142.73,18525,25.596345901489258,0.05184716731309891,0.03593813663804626,-0.014101654291152954,-108.99066162109375
398.84406042999996,957,399,382000,4280,143.79,18599,18.78669548034668,0.061512209475040436,0.03593813663804626,3.72149658203125,-110.17053985595703
386.8546092300001,957,400,383100,4290,139.79,18654,19.948963165283203,0.06815161556005478,0.03593813663804626,2.8884615898132324,-106.69001770019531
367.45302017,957,401,383980,4300,133.75,18698,27.769866943359375,0.08388712257146835,0.03593813663804626,-1.9704298973083496,-110.34961700439453
363.7367319,957,403,386060,4310,131.84,18802,9.649298667907715,0.07261956483125687,0.03593813663804626,0.1415274739265442,-114.85433959960938
372.11134966000003,957,404,386760,4320,134.14,18837,69.66921997070312,0.06756889820098877,0.03593813663804626,6.184493541717529,-111.20481872558594
363.81629567999994,957,405,387980,4330,132.8,18898,27.095434188842773,0.06075640022754669,0.03593813663804626,3.37802791595459,-108.84947967529297
341.70510846,956,406,389280,4340,126.57,18963,73.39818572998047,0.0845416709780693,0.03593813663804626,-2.7765896320343018,-112.57546997070312
347.20748294,956,407,390020,4350,127.54,19000,14.863304138183594,0.09671854972839355,0.03593813663804626,1.9867074489593506,-110.9233627319336
338.15578674999995,956,409,391980,4360,123.86,19098,82.21806335449219,0.08089873194694519,0.03593813663804626,0.5823054313659668,-111.69574737548828
